,Title,Date,Id,Summary,URL
0,Generalized Bassian and other Mixed Abelian Groups with Bounded p-Torsion,2023-08-01 16:13:57+00:00,http://arxiv.org/abs/2308.00641v1,"It is known that a mixed abelian group G with torsion T is Bassian if, and
only if, it has finite torsion-free rank and has finite p-torsion (i.e., each
Tp is finite). It is also known that if G is generalized Bassian, then each pTp
is finite, so that G has bounded p-torsion. To further describe the generalized
Bassian groups, we start by characterizing the groups in some important classes
of mixed groups with bounded p-torsion (e.g., the balanced-projective groups
and the Warfield groups). We then prove that all generalized Bassian groups
must have finite torsion-free rank, thus answering a question recently posed in
Acta Math. Hung. (2022) by Chekhlov-Danchev-Goldsmith. This implies that every
generalized Bassian group must be a B+E-group; i.e., the direct sum of a
Bassian group and an elementary group. The converse is shown to hold for a
large class of mixed groups, including the Warfield groups. It is also proved
that G is a B+E-group if, and only if, it is a subgroup of a generalized
Bassian group.",http://arxiv.org/pdf/2308.00641v1
1,Imposing nonlocal boundary conditions in Galerkin-type methods based on non-interpolatory functions,2023-08-01 15:14:50+00:00,http://arxiv.org/abs/2308.00595v1,"The imposition of inhomogeneous Dirichlet (essential) boundary conditions is
a fundamental challenge in the application of Galerkin-type methods based on
non-interpolatory functions, i.e., functions which do not possess the Kronecker
delta property. Such functions typically are used in various meshfree methods,
as well as methods based on the isogeometric paradigm. The present paper
analyses a model problem consisting of the Poisson equation subject to
non-standard boundary conditions. Namely, instead of classical boundary
conditions, the model problem involves Dirichlet- and Neumann-type nonlocal
boundary conditions. Variational formulations with strongly and weakly imposed
inhomogeneous Dirichlet-type nonlocal conditions are derived and compared
within an extensive numerical study in the isogeometric framework based on
non-uniform rational B-splines (NURBS). The attention in the numerical study is
paid mainly to the influence of the nonlocal boundary conditions on the
properties of the considered discretisation methods.",http://arxiv.org/pdf/2308.00595v1
2,An operator-asymptotic approach to periodic homogenization applied to equations of linearized elasticity,2023-08-01 15:11:06+00:00,http://arxiv.org/abs/2308.00594v1,"We explain an operator-asymptotic approach to homogenization for periodic
composite media. This approach was developed by Cherednichenko and Vel\v{c}i\'c
in [Cherednichenko and Vel\v{c}i\'c (2022) Sharp operator-norm asymptotics for
thin elastic plates with rapidly oscillating periodic properties. J. London
Math. Soc.] in the context of thin elastic plates, and here we demonstrate the
approach under the simpler setting of equations of linearized elasticity. As a
consequence, we obtain $L^2\to L^2$, $L^2\to H^1$, and higher order $L^2\to
L^2$ norm-resolvent estimates. The correctors for the $L^2\to H^1$, and higher
order $L^2\to L^2$ results are constructed from boundary value problems that
arise during the asymptotic procedure, and the first-order corrector is shown
to coincide with classical formulae.",http://arxiv.org/pdf/2308.00594v1
3,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,2023-08-01 10:31:36+00:00,http://arxiv.org/abs/2308.00436v1,"The recent progress in large language models (LLMs), especially the invention
of chain-of-thoughts (CoT) prompting, makes it possible to solve reasoning
problems. However, even the strongest LLMs are still struggling with more
complicated problems that require non-linear thinking and multi-step reasoning.
In this work, we explore whether LLMs have the ability to recognize their own
errors, without resorting to external resources. In particular, we investigate
whether they can be used to identify individual errors within a step-by-step
reasoning. To this end, we propose a zero-shot verification scheme to recognize
such errors. We then use this verification scheme to improve question-answering
performance, by using it to perform weighted voting on different generated
answers. We test the method on three math datasets-GSM8K, MathQA, and MATH-and
find that it successfully recognizes errors and, in turn, increases final
predictive performance.",http://arxiv.org/pdf/2308.00436v1
4,Sierpiński fractals and the dimension of their Laplacian spectrum,2023-07-31 22:43:11+00:00,http://arxiv.org/abs/2308.00185v1,"We estabish rigorous estimates for the Hausdorff dimension of the spectra of
Laplacians associated to Sierpi\'nski lattices and infinite Sierpi\'nski
gaskets and other post-critically finite self-similar sets.",http://arxiv.org/pdf/2308.00185v1
5,On higher multiplicity hyperplane and polynomial covers for symmetry preserving subsets of the hypercube,2023-07-31 17:47:33+00:00,http://arxiv.org/abs/2307.16881v1,"Alon and F\""uredi (European J. Combin. 1993) gave a tight bound for the
following hyperplane covering problem: find the minimum number of hyperplanes
required to cover all points of the n-dimensional hypercube {0,1}^n except the
origin. Their proof is among the early instances of the polynomial method,
which considers a natural polynomial (a product of linear factors) associated
to the hyperplane arrangement, and gives a lower bound on its degree, whilst
being oblivious to the (product) structure of the polynomial. Thus, their proof
gives a lower bound for a weaker polynomial covering problem, and it turns out
that this bound is tight for the stronger hyperplane covering problem.
  In a similar vein, solutions to some other hyperplane covering problems were
obtained, via solutions of corresponding weaker polynomial covering problems,
in some special cases in the works of the fourth author (Electron. J. Combin.
2022), and the first three authors (Discrete Math. 2023). In this work, we
build on these and solve a hyperplane covering problem for general symmetric
sets of the hypercube, where we consider hyperplane covers with higher
multiplicities. We see that even in this generality, it is enough to solve the
corresponding polynomial covering problem. Further, this seems to be the limit
of this approach as far as covering symmetry preserving subsets of the
hypercube is concerned. We gather evidence for this by considering the class of
blockwise symmetric sets of the hypercube (which is a strictly larger class
than symmetric sets), and note that the same proof technique seems to only
solve the polynomial covering problem.",http://arxiv.org/pdf/2307.16881v1
6,Capacities and Choquet Averages of Ultrafilters,2023-07-31 16:36:17+00:00,http://arxiv.org/abs/2307.16823v1,"We show that a normalized capacity $\nu: \mathcal{P}(\mathbf{N})\to
\mathbf{R}$ is invariant with respect to an ideal $\mathcal{I}$ on $\mathbf{N}$
if and only if it can be represented as a Choquet average of $\{0,1\}$-valued
finitely additive probability measures corresponding to the ultrafilters
containing the dual filter of $\mathcal{I}$. This is obtained as a consequence
of an abstract analogue in the context of Archimedean Riesz spaces.",http://arxiv.org/pdf/2307.16823v1
7,A note on Fujimoto's uniqueness theorem with $(2n+3)$ hyperplanes,2023-07-31 11:50:42+00:00,http://arxiv.org/abs/2307.16595v1,"Hirotaka Fujimoto proved in [Nagoya Math. J., 1976(64): 117--147] and [Nagoya
Math. J., 1978(71): 13--24] a uniqueness theorem for algebraically
non-degenerate meromorphic maps into $\mathbb{P}^n(\mathbb{C})$ sharing
$(2n+3)$ hyperplanes in general position. The proof of Lemma 3.6 in [Nagoya
Math. J., 1976(64): 117--147] is found to contain a mistake. This mistake can
be corrected easily from a new point of view. This note explains the idea of
the correction and provides a complete proof.",http://arxiv.org/pdf/2307.16595v1
8,Fluid ferroelectric filaments,2023-07-31 11:42:36+00:00,http://arxiv.org/abs/2307.16588v1,"Freestanding slender fluid filaments of room temperature ferroelectric
nematic liquid crystals are described. They are stabilized either by internal
electric fields of bound charges formed due to polarization splay, or by
external voltage applied between suspending wires. The phenomenon is similar to
those observed in dielectric fluids, such as deionized water, except that in
ferroelectric nematic materials the voltages required are 3 orders of
magnitudes smaller and the aspect ratio is much higher. The observed
ferroelectric fluid threads are not only unique and novel, but also offer
measurements of basic physical quantities, such as the ferroelectric
polarization and viscosity. Ferroelectric nematic fluid threads may have
practical applications in nano-fluidic micron-size logic devices, switches, and
relays.",http://arxiv.org/pdf/2307.16588v1
9,Infinitesimally Moebius bendable hypersurfaces,2023-07-30 23:33:12+00:00,http://arxiv.org/abs/2307.16341v1,"Li, Ma and Wang have provided in [\emph{Deformations of hypersurfaces
preserving the M\""obius metric and a reduction theorem}, Adv. Math. 256 (2014),
156--205] a partial classification of the so-called Moebius deformable
hypersurfaces, that is, the umbilic-free Euclidean hypersurfaces $f\colon
M^n\to \mathbb{R}^{n+1}$ that admit non-trivial deformations preserving the
Moebius metric. For $n\geq 5$, the classification was completed by the authors
in \cite{JT2}. In this article we obtain an infinitesimal version of that
classification. Namely, we introduce the notion of an infinitesimal Moebius
variation of an umbilic-free immersion $f\colon M^n\to \mathbb{R}^m$ into
Euclidean space as a one-parameter family of immersions $f_t\colon M^n\to
\mathbb{R}^m$, with $t\in (-\epsilon, \epsilon)$ and $f_0=f$, such that the
Moebius metrics determined by $f_t$ coincide up to the first order. Then we
characterize isometric immersions $f\colon M^n\to \mathbb{R}^m$ of arbitrary
codimension that admit a non-trivial infinitesimal Moebius variation among
those that admit a non-trivial conformal infinitesimal variation, and use such
characterization to classify the umbilic-free Euclidean hypersurfaces of
dimension $n\geq 5$ that admit non-trivial infinitesimal Moebius variations.",http://arxiv.org/pdf/2307.16341v1
10,The Havriliak-Negami and Jurlewicz-Weron-Stanislavsky relaxation models revisited: memory functions based study,2023-07-30 11:09:31+00:00,http://arxiv.org/abs/2307.16202v1,"We provide a review of theoretical results concerning the Havriliak-Negami
(HN) and the Jurlewicz-Weron-Stanislavsky (JWS) dielectric relaxation models.
We derive explicit forms of functions characterizing relaxation phenomena in
the time domain - the relaxation, response and probability distribution
functions. We also explain how to construct and solve relevant evolution
equations within these models. These equations are usually solved by using the
Schwinger parametrization and the integral transforms. Instead, in this work we
replace it by the powerful Efros theorem. That allows one to relate physically
admissible solutions to the memory-dependent evolution equations with
phenomenologically known spectral functions and, from the other side, with the
subordination mechanism emerging from a stochastic analysis of processes
underpinning considered relaxation phenomena. Our approach is based on a
systematic analysis of the memory-dependent evolution equations. It exploits
methods of integral transforms, operational calculus and special functions
theory with the completely monotone and Bernstein functions. Merging analytic
and stochastic methods enables us to give a complete classification of the
standard functions used to describe the large class of the relaxation phenomena
and to explain their properties.",http://arxiv.org/pdf/2307.16202v1
11,Augmented Math: Authoring AR-Based Explorable Explanations by Augmenting Static Math Textbooks,2023-07-30 03:02:52+00:00,http://arxiv.org/abs/2307.16112v1,"We introduce Augmented Math, a machine learning-based approach to authoring
AR explorable explanations by augmenting static math textbooks without
programming. To augment a static document, our system first extracts
mathematical formulas and figures from a given document using optical character
recognition (OCR) and computer vision. By binding and manipulating these
extracted contents, the user can see the interactive animation overlaid onto
the document through mobile AR interfaces. This empowers non-technical users,
such as teachers or students, to transform existing math textbooks and handouts
into on-demand and personalized explorable explanations. To design our system,
we first analyzed existing explorable math explanations to identify common
design strategies. Based on the findings, we developed a set of augmentation
techniques that can be automatically generated based on the extracted content,
which are 1) dynamic values, 2) interactive figures, 3) relationship
highlights, 4) concrete examples, and 5) step-by-step hints. To evaluate our
system, we conduct two user studies: preliminary user testing and expert
interviews. The study results confirm that our system allows more engaging
experiences for learning math concepts.",http://arxiv.org/pdf/2307.16112v1
